Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,OriginalPrice (in Rs),SizeOption,Ratings,Reviews,Discount offer(in Rs.),Discount price,Discount offer(%),Column1,,,
2296012,Roadster,Bottom Wear,jeans,Men,roadster men navy blue slim fit mid rise clean look jeans,1499,"28, 30, 32, 34, 36",3.9,999,674.55,824,45%,Low Discount,,,
13780156,LOCOMOTIVE,Bottom Wear,track-pants,Men,locomotive men black  white solid slim fit track pants,1149,"S, M, L, XL",4,999,631.95,517,55%,High Discount,,Product_id,
11895958,Roadster,Topwear,shirts,Men,roadster men navy white  black geometric printed sustainable casual shirt,1399,"38, 40, 42, 44, 46, 48",4.3,999,769.45,629,55%,High Discount,,11895958,Ratings
4335679,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women black saree shapewear zi3023core0nude,1295,"S, M, L, XL, XXL",4.2,999,401.45,893,31%,Low Discount,,,4.3
11690882,Roadster,Western,tshirts,Women,roadster women white solid v neck pure cotton t shirt,599,"XS, S, M, L, XL",4.2,999,209.65,389.35,35%,Low Discount,,,
2490950,Mast & Harbour,Western,tops,Women,mast  harbour women yellow solid tank top,599,"XS, S, M, L, XL",4.4,999,239.6,359.4,40%,Low Discount,,,
6744434,HIGHLANDER,Bottom Wear,trousers,Men,highlander men olive green slim fit solid regular trousers,1499,"30, 32, 34, 36",3.9,998,899.4,599,60%,High Discount,,,
8439415,Mayra,Western,tops,Women,mayra pink embroidered a line pure cotton top,1395,"S, M, L, XL",3.7,998,809.1,585.9,58%,High Discount,,,
17381394,Roadster,Western,tshirts,Women,roadster women pack of 2 solid t shirts,1098,"XS, S, M, L, XL",4.3,997,,739.615796,,High Discount,,,
2359257,HERE&NOW,Bottom Wear,jeans,Men,herenow men blue slim fit mid rise clean look ankle length stretchable jeans,2749,"28, 30, 32, 34, 36",3.5,996,,908.8077558,,High Discount,,,
7695793,HRX by Hrithik Roshan,Sports Wear,tights,Men,hrx by hrithik roshan men rapid dry training tights,2699,"S, M, L, XL, XXL",4.4,996,1484.45,1214,55%,High Discount,,,
10307375,Roadster,Topwear,tshirts,Men,roadster men navy blue  white striped polo collar pure cotton t shirt,699,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.1,996,,698.2084967,,High Discount,,,
12873874,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women pink  white printed kurta with trousers  dupatta,3399,"S, M, L, XL, XXL",4.2,996,2379.3,1019,70%,High Discount,,,
11634538,Athena,Western,jumpsuit,Women,athena women black solid basic jumpsuit,2499,"XS, S, M, L, XL",4.3,996,1249.5,1249.5,50%,Low Discount,,,
2312181,Roadster,Western,tshirts,Women,roadster women maroon solid round neck t shirt,799,"XS, S, M, L, XL",4,996,479.4,319.6,60%,High Discount,,,
13842386,HIGHLANDER,Topwear,shirts,Men,highlander men blue  black slim fit printed casual shirt,1099,"39, 40, 42, 44",4.2,995,582.47,516,53%,High Discount,,,
10473520,Vishudh,Indian Wear,kurtas,Women,vishudh women blue  pink floral print a line kurta,1699,"S, M, L, XL, XXL",4.2,995,1002.41,696,59%,High Discount,,,
10561392,Sangria,Plus Size,kurta-sets,Women,sangria women green  off white printed kurta with palazzos  dupatta,3999,"XS, S, M, L, XL, XXL, 3XL",4.3,995,,710.7319749,,High Discount,,,
12391750,Tokyo Talkies,Western,trousers,Women,tokyo talkies women olive green regular fit solid cargos,2149,"28, 30, 32, 34",4.1,995,1310.89,838.11,61%,High Discount,,,`
2522986,DressBerry,Western,tshirts,Women,dressberry women lovely olive typography talking tee,999,"XS, S, M, L, XL",4.3,995,749.25,249.75,75%,High Discount,,,
17385142,Roadster,Western,tshirts,Women,roadster women pack of 2 printed cotton t shirt,1298,"XS, S, M, L, XL",4.4,994,,739.615796,,High Discount,,,
12153330,Anouk,Indian Wear,kurtas,Women,anouk women mustard yellow  gold toned printed straight kurta,1599,"XS, S, M, L, XL, XXL",3.8,993,879.45,719,55%,High Discount,,,
1864573,Enamor,Lingerie & Sleep Wear,bra,Women,enamor black non wired removable pads high coverage medium impact sports bra sb08,849,"S, M, L, XL",4.2,993,,605.5096899,,High Discount,,,
13205276,all about you,Western,shirts,Women,all about you women mauve stretchable casual shirt,1499,"XS, S, M, L, XL",4.2,993,749.5,749.5,50%,Low Discount,,,
11535928,KASSUALLY,Western,tops,Women,kassually blue floral cinched waist top with puff sleeves,1299,"XS, S, M, L, XL, XXL",4.3,992,805.38,493.62,62%,High Discount,,,
6552977,RARE,Western,tops,Women,rare women maroon striped top,1299,"S, M, L, XL",4.2,991,740.43,558.57,57%,High Discount,,,
9476129,Zastraa,Western,trousers,Women,zastraa women maroon slim fit peg trousers,2699,"26, 28, 30, 32, 34, 36",4.1,991,1889.3,809.7,70%,High Discount,,,
2017530,WISSTLER,Western,shorts,Women,wisstler women navy  pink chevron print regular fit shorts,899,"26, 28, 30, 32, 34, 36",4,991,548.39,350.61,61%,High Discount,,,
11173948,Sangria,Plus Size,kurtas,Women,sangria women black  green printed straight kurta,899,"XS, S, M, L, XL, XXL, 3XL",4,990,539.4,359,60%,High Discount,,,
11118428,Roadster,Western,shorts,Women,roadster women blue solid regular fit denim shorts,1199,"26, 28, 30, 32, 34, 36",4.3,990,659.45,539.55,55%,High Discount,,,
17383362,Roadster,Western,tshirts,Women,roadster women green  teal green pack of 2 printed round neck t shirts,1598,"L, M, S, XS, XL",4.2,990,799,799,50%,Low Discount,,,
9971493,Vishudh,Western,dresses,Women,vishudh women navy blue  green maxi dress,2349,"S, M, L, XL, XXL",4.4,990,1526.85,822.15,65%,High Discount,,,
7846797,Cottinfab,Western,jumpsuit,Women,cottinfab olive green solid cold shoulder jumpsuit,2449,"S, M, L, XL, XXL",4.3,990,1591.85,857.15,65%,High Discount,,,
10771696,QUIERO,Western,jumpsuit,Women,quiero women maroon wrap detail jumpsuit,2959,"XS, S, M, L, XL",4.3,990,1627.45,1331.55,55%,High Discount,,,
10969948,Roadster,Western,tshirts,Women,roadster women rust pink  white colourblocked round neck pure cotton t shirt with twisted detail,899,"XS, S, M, L, XL",4.1,990,539.4,359.6,60%,High Discount,,,
11938872,ELEVANTO,Lingerie & Sleep Wear,bath-robe,Women,elevanto women fuchsia pink solid bath robe,999,Onesize,4.2,989,509.49,489,51%,High Discount,,,
14154054,Tokyo Talkies,Western,track-pants,Women,tokyo talkies women black solid casual joggers,1199,"S, M, L, XL",4.3,989,587.51,611.49,49%,Low Discount,,,
2477061,WROGN,Bottom Wear,jeans,Men,wrogn men blue skinny fit mid rise clean look stretchable jeans,2799,"28, 30, 32, 34, 36, 38",4,988,1259.55,1539,45%,Low Discount,,,
10187401,WROGN,Bottom Wear,jeans,Men,wrogn men black slim fit mid rise clean look stretchable jeans,2599,"28, 30, 32, 34, 36, 38",4.1,988,1169.55,1429,45%,Low Discount,,,
6791064,HRX by Hrithik Roshan,Sports Wear,track-pants,Men,hrx by hrithik roshan men olive green camo athleisure track pants,1899,"S, M, L, XL, XXL",4,988,1139.4,759,60%,High Discount,,,
12918912,Roadster,Topwear,shirts,Men,roadster men sea green pure cotton sustainable casual shirt,1199,"38, 40, 42, 44, 46, 48",4.3,988,599.5,599,50%,Low Discount,,,
11245584,HRX by Hrithik Roshan,Sports Wear,tights,Women,hrx by hrithik roshan black self striped seamless rapid dry yoga tights,1699,"XS, S, M, L, XL, XXL",4,988,1104.35,594,65%,High Discount,,,
8643285,SASSAFRAS,Western,trousers,Women,sassafras women olive green peg trousers,1599,"26, 28, 30, 32, 34, 36",3.6,988,799.5,799.5,50%,Low Discount,,,
9451341,her by invictus,Western,tops,Women,her by invictus white  black floral monochrome smart casual top,1699,"S, M, L, XL, XXL",4.2,988,509.7,1189.3,30%,Low Discount,,,
7526008,StyleStone,Western,jackets,Women,stylestone women blue solid denim jacket,1999,"S, M, L, XL",4.2,988,1099.45,899.55,55%,High Discount,,,
11235516,Mayra,Western,tops,Women,mayra women mustard yellow  green ditsy floral printed cinched waist top,995,"S, M, L, XL",4.1,988,577.1,417.9,58%,High Discount,,,
10064541,Roadster,Bottom Wear,jeans,Men,roadster men navy blue super skinny fit acid wash clean look stretchable jeans,1999,"28, 30, 32, 34, 36, 38, 40",3.8,987,1199.4,799,60%,High Discount,,,
976816,HRX by Hrithik Roshan,Inner Wear &  Sleep Wear,socks,Men,hrx by hrithik roshan men quarter length pack of 3 terry socks,599,Onesize,4.5,987,239.6,359,40%,Low Discount,,,
11269190,Moda Rapido,Topwear,tshirts,Men,moda rapido men olive green  yellow striped cotton pure cotton t shirt,1199,"S, M, L, XL",4.2,987,719.4,479,60%,High Discount,,,
10266495,Moda Rapido,Topwear,tshirts,Men,moda rapido men olive green printed round neck pure cotton t shirt,999,"S, M, L, XL",4,987,599.4,399,60%,High Discount,,,
8986005,Harpa,Western,tops,Women,harpa women pink printed wrap top,1199,"S, M, L, XL",4,987,623.48,575.52,52%,High Discount,,,
10604500,SASSAFRAS,Western,jackets,Women,sassafras women blue solid denim jacket,1799,"XS, S, M, L, XL, XXL",4.3,987,1169.35,629.65,65%,High Discount,,,
11045880,Roadster,Western,jeans,Women,roadster women stunning blue boyfriend fit jeans,2499,"26, 28, 30, 32, 34, 36",3.7,987,1874.25,624.75,75%,High Discount,,,
8912653,Kook N Keech Marvel,Western,tshirts,Women,kook n keech marvel women red printed polo collar pure cotton t shirt,899,"XS, S, M, L, XL",3.9,987,584.35,314.65,65%,High Discount,,,
10064487,Roadster,Bottom Wear,jeans,Men,roadster men blue slim fit mid rise mildly distressed stretchable jeans,2199,"28, 30, 32, 34, 36",3.7,986,1209.45,989,55%,High Discount,,,
2888727,HIGHLANDER,Topwear,shirts,Men,highlander men white slim fit solid casual shirt,1249,"39, 40, 42, 44",4.1,986,661.97,587,53%,High Discount,,,
